ID	Type	Size	Count
a1	Asphalt	1	0
a2	Asphalt	2	0
a7	Asphalt	7	0
bt	Battlement	#N/A	0
cbc	Castle Base Corner	1	0
cbe	Castle Base End	1	0
cbs	Castle Base Straight	1	0
ca	Castle Door Arch	3	0
cwc	Castle Wall Corner	1	0
cwe	Castle Wall End	1	0
cws	Castle Wall Straight	1	0
c1	Concrete	1	0
c2	Concrete	2	0
c6	Concrete	6	0
c7	Concrete	7	0
d1	Dungeon	1	0
d2	Dungeon	2	0
d3	Dungeon	3	0
d7	Dungeon	7	0
d24	Dungeon	24	0
og1	Glacier	1	0
og3	Glacier	3	0
og4	Glacier	4	0
og6	Glacier	6	0
g1	Grass	1	0
g2	Grass	2	0
g3	Grass	3	0
g7	Grass	7	0
g24	Grass	24	0
i1	Ice	1	0
i3	Ice	3	0
i4	Ice	4	0
i6	Ice	6	0
ld	Ladder	#N/A	0
lp13	Laur Jungle Tree	13	0
lp14	Laur Jungle Tree	14	0
lp15	Laur Jungle Tree	15	0
lwp	Laur Pillar	1	0
lb10	Laur Underbrush	10	0
lwl	Laur Wall Long	1	0
lwr	Laur Wall Ruin	#N/A	0
lws	Laur Wall Short	#N/A	0
l1	Lava	1	0
l3	Lava	3	0
lf1	Lava Field	1	0
lf2	Lava Field	2	0
lf3	Lava Field	3	0
lf7	Lava Field	7	0
lf24	Lava Field	24	0
ol1	Lava Rock Outcrop	1	0
ol3	Lava Rock Outcrop	3	0
h	Marro Hive	6	0
rm	Marvel Breakable Wall	6	0
o1	Outcrop	1	0
o3	Outcrop	3	0
tp14	Palm	14	0
tp15	Palm	15	0
tp16	Palm	16	0
rd1	Road	1	0
rd2	Road	2	0
rd5	Road	5	0
rw	Road Wall	#N/A	0
r1	Rock	1	0
r2	Rock	2	0
r3	Rock	3	0
r7	Rock	7	0
r24	Rock	24	0
rs2	Ruins	2	0
rs3	Ruins	3	0
s1	Sand	1	0
s2	Sand	2	0
s3	Sand	3	0
s7	Sand	7	0
s24	Sand	24	0
sh1	Shadow	1	0
sh3	Shadow	3	0
sn1	Snow	1	0
sn2	Snow	2	0
sn3	Snow	3	0
sn7	Snow	7	0
sn24	Snow	24	0
str10	Snow Tree	10	0
str12	Snow Tree	12	0
sw1	Swamp	1	0
sw2	Swamp	2	0
sw3	Swamp	3	0
sw7	Swamp	7	0
sw24	Swamp	24	0
sb10	Swamp Underbrush	10	0
ws1	Swamp Water	1	0
ws3	Swamp Water	3	0
ws6	Swamp Water	6	0
tb9	Ticalla Brush	9	0
tr10	Tree	10	0
tr11	Tree	11	0
tr12	Tree	12	0
tr15	Tree	15	0
cg1	Wall Walk	1	0
cg7	Wall Walk	7	0
cg9	Wall Walk	9	0
w1	Water	1	0
w3	Water	3	0
ww1	Wellspring Water	1	0
